station_id,lat,lon,zone
S06,1.31743,103.892179,GEYLANG
S07,1.344762,103.822351,CENTRAL WATER CATCHMENT
S08,1.370015,103.823075,CENTRAL WATER CATCHMENT
S11,1.374385,103.693711,WESTERN WATER CATCHMENT
S23,1.3858,103.7114,WESTERN WATER CATCHMENT
S24,1.36442,103.991531,CHANGI
S25,1.4166,103.8654,SELETAR
S29,1.380394,103.962051,PASIR RIS
S31,1.301701,103.800518,QUEENSTOWN
S33,1.313695,103.70981,QUEENSTOWN
S35,1.332434,103.755456,CLEMENTI
S36,1.3382,103.8657,TOA PAYOH
S40,1.407194,103.784421,CENTRAL WATER CATCHMENT
S43,1.340242,103.886687,HOUGANG
S44,1.34831,103.683135,WESTERN WATER CATCHMENT
S46,1.358946,103.818986,CENTRAL WATER CATCHMENT
S50,1.332948,103.777515,BUKIT TIMAH
S55,1.383058,103.884948,HOUGANG
S60,1.249404,103.830321,SOUTHERN ISLANDS
S61,1.327716,103.920359,BEDOK
S63,1.3275,103.7042,BOON LAY
S64,1.380908,103.770266,BUKIT PANJANG
S66,1.42449,103.739054,LIM CHU KANG
S69,1.374338,103.811133,CENTRAL WATER CATCHMENT
S71,1.297701,103.7806,QUEENSTOWN
S72,1.273973,103.848247,DOWNTOWN CORE
S77,1.293757,103.813197,QUEENSTOWN
S78,1.310905,103.89439,GEYLANG
S79,1.3004,103.8372,ORCHARD
S80,1.44888,103.820102,SEMBAWANG
S81,1.402687,103.909138,PUNGGOL
S82,1.325074,103.635206,TUAS
S84,1.361815,103.953213,TAMPINES
S86,1.331144,103.741872,JURONG EAST
S88,1.34154,103.851956,TOA PAYOH
S89,1.319508,103.661473,PIONEER
S90,1.319043,103.819339,TANGLIN
S91,1.430402,103.831058,YISHUN
S92,1.283426,103.788665,QUEENSTOWN
S94,1.36753,103.949267,PASIR RIS
S101,1.351063,103.713553,JURONG WEST
S102,1.206487,103.770918,WESTERN ISLANDS
S104,1.443095,103.785581,WOODLANDS
S105,1.457896,103.794919,SEMBAWANG
S106,1.412592,103.957908,NORTH-EASTERN ISLANDS
S107,1.315317,103.96189,BEDOK
S108,1.280528,103.871175,MARINA SOUTH
S109,1.378654,103.849323,ANG MO KIO
S110,1.366233,103.872565,SERANGOON
S111,1.310455,103.836361,NEWTON
S112,1.437348,103.701044,LIM CHU KANG
S113,1.304906,103.911434,MARINE PARADE
S114,1.381872,103.73858,CHOA CHU KANG
S115,1.29513,103.617811,TUAS
S116,1.283146,103.773894,QUEENSTOWN
S117,1.254133,103.67417,WESTERN ISLANDS
S118,1.299706,103.845488,MUSEUM
S119,1.3011,103.8666,KALLANG
S120,1.31384,103.815914,TANGLIN
S121,1.372739,103.721967,WESTERN WATER CATCHMENT
S122,1.418345,103.824991,YISHUN
S123,1.321734,103.857663,KALLANG
